         6185868 function calls (5857560 primitive calls) in 1.295 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      254    0.001    0.000    0.001    0.000 lizard.py:455(__init__)
     2389    0.000    0.000    0.001    0.000 lizard.py:437(current_nesting_level)
     4683    0.000    0.000    0.000    0.000 typescript.py:551(_state_template_literal)
      254    0.000    0.000    0.000    0.000 {method 'finditer' of 're.Pattern' objects}
      254    0.000    0.000    0.003    0.000 typescript.py:61(__init__)
     1524    0.000    0.000    0.001    0.000 enum.py:1543(_get_value)
     4318    0.000    0.000    0.000    0.000 enum.py:1291(value)
     4346    0.000    0.000    0.000    0.000 lizard.py:509(add_condition)
     2380    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      851    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
     1424    0.000    0.000    0.000    0.000 typescript.py:441(callback)
      508    0.000    0.000    0.001    0.000 enum.py:720(__call__)
     3908    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      254    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
      604    0.000    0.000    0.004    0.000 typescript.py:461(_arrow_function)
      319    0.000    0.000    0.001    0.000 typescript.py:574(_to_camel_case)
     2389    0.000    0.000    0.000    0.000 lizard.py:422(start_new_function_nesting)
     1270    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
      254    0.000    0.000    0.000    0.000 code_reader.py:199(<genexpr>)
      254    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      254    0.000    0.000    0.000    0.000 lizard.py:532(preprocessing)
      254    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
      508    0.000    0.000    0.000    0.000 enum.py:1128(__new__)
      254    0.000    0.000    0.000    0.000 __init__.py:32(languages)
      652    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
      319    0.000    0.000    0.001    0.000 typescript.py:555(_collect_computed_name)
      815    0.000    0.000    0.000    0.000 typescript.py:588(consume)
      973    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2197    0.000    0.000    0.000    0.000 code_reader.py:61(statemachine_before_return)
      254    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
      356    0.000    0.000    0.000    0.000 typescript.py:635(_state_generic_type)
      207    0.000    0.000    0.000    0.000 typescript.py:583(_consume_generic_type_params)
      254    0.000    0.000    0.000    0.000 lizard.py:383(__init__)
      254    0.000    0.000    0.000    0.000 code_reader.py:200(<genexpr>)
      202    0.000    0.000    0.000    0.000 typescript.py:639(_function_type_annotation)
      150    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      150    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       33    0.000    0.000    0.000    0.000 __init__.py:164(match)
      254    0.000    0.000    0.000    0.000 lizard.py:408(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      150    0.000    0.000    0.000    0.000 typescript.py:581(<genexpr>)
      254    0.000    0.000    0.000    0.000 code_reader.py:225(eof)
       21    0.000    0.000    0.000    0.000 typescript.py:631(_inline_type_annotation)
        7    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
